"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2019","Total","Both Sexes","Total","Data tabulated by year of occurrence","Final figure, complete","2021","2854838",""
"United States of America","2019","Total","Both Sexes","0","Data tabulated by year of occurrence","Final figure, complete","2021","20921",""
"United States of America","2019","Total","Both Sexes","1","Data tabulated by year of occurrence","Final figure, complete","2021","1474",""
"United States of America","2019","Total","Both Sexes","1 - 4","Data tabulated by year of occurrence","Final figure, complete","2021","3676",""
"United States of America","2019","Total","Both Sexes","2","Data tabulated by year of occurrence","Final figure, complete","2021","916",""
"United States of America","2019","Total","Both Sexes","3","Data tabulated by year of occurrence","Final figure, complete","2021","710",""
"United States of America","2019","Total","Both Sexes","4","Data tabulated by year of occurrence","Final figure, complete","2021","576",""
"United States of America","2019","Total","Both Sexes","5","Data tabulated by year of occurrence","Final figure, complete","2021","536",""
"United States of America","2019","Total","Both Sexes","5 - 9","Data tabulated by year of occurrence","Final figure, complete","2021","2333",""
"United States of America","2019","Total","Both Sexes","6","Data tabulated by year of occurrence","Final figure, complete","2021","490",""
"United States of America","2019","Total","Both Sexes","7","Data tabulated by year of occurrence","Final figure, complete","2021","439",""
"United States of America","2019","Total","Both Sexes","8","Data tabulated by year of occurrence","Final figure, complete","2021","435",""
"United States of America","2019","Total","Both Sexes","9","Data tabulated by year of occurrence","Final figure, complete","2021","433",""
"United States of America","2019","Total","Both Sexes","10","Data tabulated by year of occurrence","Final figure, complete","2021","480",""
"United States of America","2019","Total","Both Sexes","10 - 14","Data tabulated by year of occurrence","Final figure, complete","2021","3164",""
"United States of America","2019","Total","Both Sexes","11","Data tabulated by year of occurrence","Final figure, complete","2021","536",""
"United States of America","2019","Total","Both Sexes","12","Data tabulated by year of occurrence","Final figure, complete","2021","601",""
"United States of America","2019","Total","Both Sexes","13","Data tabulated by year of occurrence","Final figure, complete","2021","687",""
"United States of America","2019","Total","Both Sexes","14","Data tabulated by year of occurrence","Final figure, complete","2021","860",""
"United States of America","2019","Total","Both Sexes","15","Data tabulated by year of occurrence","Final figure, complete","2021","1137",""
"United States of America","2019","Total","Both Sexes","15 - 19","Data tabulated by year of occurrence","Final figure, complete","2021","10258",""
"United States of America","2019","Total","Both Sexes","16","Data tabulated by year of occurrence","Final figure, complete","2021","1485",""
"United States of America","2019","Total","Both Sexes","17","Data tabulated by year of occurrence","Final figure, complete","2021","1886",""
"United States of America","2019","Total","Both Sexes","18","Data tabulated by year of occurrence","Final figure, complete","2021","2732",""
"United States of America","2019","Total","Both Sexes","19","Data tabulated by year of occurrence","Final figure, complete","2021","3018",""
"United States of America","2019","Total","Both Sexes","20","Data tabulated by year of occurrence","Final figure, complete","2021","3313",""
"United States of America","2019","Total","Both Sexes","20 - 24","Data tabulated by year of occurrence","Final figure, complete","2021","19513",""
"United States of America","2019","Total","Both Sexes","21","Data tabulated by year of occurrence","Final figure, complete","2021","3821",""
"United States of America","2019","Total","Both Sexes","22","Data tabulated by year of occurrence","Final figure, complete","2021","3882",""
"United States of America","2019","Total","Both Sexes","23","Data tabulated by year of occurrence","Final figure, complete","2021","4146",""
"United States of America","2019","Total","Both Sexes","24","Data tabulated by year of occurrence","Final figure, complete","2021","4351",""
"United States of America","2019","Total","Both Sexes","25","Data tabulated by year of occurrence","Final figure, complete","2021","4752",""
"United States of America","2019","Total","Both Sexes","25 - 29","Data tabulated by year of occurrence","Final figure, complete","2021","26969",""
"United States of America","2019","Total","Both Sexes","26","Data tabulated by year of occurrence","Final figure, complete","2021","5086",""
"United States of America","2019","Total","Both Sexes","27","Data tabulated by year of occurrence","Final figure, complete","2021","5383",""
"United States of America","2019","Total","Both Sexes","28","Data tabulated by year of occurrence","Final figure, complete","2021","5757",""
"United States of America","2019","Total","Both Sexes","29","Data tabulated by year of occurrence","Final figure, complete","2021","5991",""
"United States of America","2019","Total","Both Sexes","30","Data tabulated by year of occurrence","Final figure, complete","2021","6183",""
"United States of America","2019","Total","Both Sexes","30 - 34","Data tabulated by year of occurrence","Final figure, complete","2021","32209",""
"United States of America","2019","Total","Both Sexes","31","Data tabulated by year of occurrence","Final figure, complete","2021","6225",""
"United States of America","2019","Total","Both Sexes","32","Data tabulated by year of occurrence","Final figure, complete","2021","6263",""
"United States of America","2019","Total","Both Sexes","33","Data tabulated by year of occurrence","Final figure, complete","2021","6683",""
"United States of America","2019","Total","Both Sexes","34","Data tabulated by year of occurrence","Final figure, complete","2021","6855",""
"United States of America","2019","Total","Both Sexes","35","Data tabulated by year of occurrence","Final figure, complete","2021","6998",""
"United States of America","2019","Total","Both Sexes","35 - 39","Data tabulated by year of occurrence","Final figure, complete","2021","38638",""
"United States of America","2019","Total","Both Sexes","36","Data tabulated by year of occurrence","Final figure, complete","2021","7326",""
"United States of America","2019","Total","Both Sexes","37","Data tabulated by year of occurrence","Final figure, complete","2021","7692",""
"United States of America","2019","Total","Both Sexes","38","Data tabulated by year of occurrence","Final figure, complete","2021","8177",""
"United States of America","2019","Total","Both Sexes","39","Data tabulated by year of occurrence","Final figure, complete","2021","8445",""
"United States of America","2019","Total","Both Sexes","40","Data tabulated by year of occurrence","Final figure, complete","2021","8639",""
"United States of America","2019","Total","Both Sexes","40 - 44","Data tabulated by year of occurrence","Final figure, complete","2021","44348",""
"United States of America","2019","Total","Both Sexes","41","Data tabulated by year of occurrence","Final figure, complete","2021","8456",""
"United States of America","2019","Total","Both Sexes","42","Data tabulated by year of occurrence","Final figure, complete","2021","8791",""
"United States of America","2019","Total","Both Sexes","43","Data tabulated by year of occurrence","Final figure, complete","2021","8928",""
"United States of America","2019","Total","Both Sexes","44","Data tabulated by year of occurrence","Final figure, complete","2021","9534",""
"United States of America","2019","Total","Both Sexes","45","Data tabulated by year of occurrence","Final figure, complete","2021","10170",""
"United States of America","2019","Total","Both Sexes","45 - 49","Data tabulated by year of occurrence","Final figure, complete","2021","63739",""
"United States of America","2019","Total","Both Sexes","46","Data tabulated by year of occurrence","Final figure, complete","2021","11198",""
"United States of America","2019","Total","Both Sexes","47","Data tabulated by year of occurrence","Final figure, complete","2021","12579",""
"United States of America","2019","Total","Both Sexes","48","Data tabulated by year of occurrence","Final figure, complete","2021","14385",""
"United States of America","2019","Total","Both Sexes","49","Data tabulated by year of occurrence","Final figure, complete","2021","15407",""
"United States of America","2019","Total","Both Sexes","50","Data tabulated by year of occurrence","Final figure, complete","2021","16151",""
"United States of America","2019","Total","Both Sexes","50 - 54","Data tabulated by year of occurrence","Final figure, complete","2021","96654",""
"United States of America","2019","Total","Both Sexes","51","Data tabulated by year of occurrence","Final figure, complete","2021","17198",""
"United States of America","2019","Total","Both Sexes","52","Data tabulated by year of occurrence","Final figure, complete","2021","18788",""
"United States of America","2019","Total","Both Sexes","53","Data tabulated by year of occurrence","Final figure, complete","2021","20593",""
"United States of America","2019","Total","Both Sexes","54","Data tabulated by year of occurrence","Final figure, complete","2021","23924",""
"United States of America","2019","Total","Both Sexes","55","Data tabulated by year of occurrence","Final figure, complete","2021","26793",""
"United States of America","2019","Total","Both Sexes","55 - 59","Data tabulated by year of occurrence","Final figure, complete","2021","158453",""
"United States of America","2019","Total","Both Sexes","56","Data tabulated by year of occurrence","Final figure, complete","2021","28966",""
"United States of America","2019","Total","Both Sexes","57","Data tabulated by year of occurrence","Final figure, complete","2021","31658",""
"United States of America","2019","Total","Both Sexes","58","Data tabulated by year of occurrence","Final figure, complete","2021","34347",""
"United States of America","2019","Total","Both Sexes","59","Data tabulated by year of occurrence","Final figure, complete","2021","36689",""
"United States of America","2019","Total","Both Sexes","60","Data tabulated by year of occurrence","Final figure, complete","2021","38690",""
"United States of America","2019","Total","Both Sexes","60 - 64","Data tabulated by year of occurrence","Final figure, complete","2021","216484",""
"United States of America","2019","Total","Both Sexes","61","Data tabulated by year of occurrence","Final figure, complete","2021","41522",""
"United States of America","2019","Total","Both Sexes","62","Data tabulated by year of occurrence","Final figure, complete","2021","43975",""
"United States of America","2019","Total","Both Sexes","63","Data tabulated by year of occurrence","Final figure, complete","2021","45361",""
"United States of America","2019","Total","Both Sexes","64","Data tabulated by year of occurrence","Final figure, complete","2021","46936",""
"United States of America","2019","Total","Both Sexes","65","Data tabulated by year of occurrence","Final figure, complete","2021","48159",""
"United States of America","2019","Total","Both Sexes","65 - 69","Data tabulated by year of occurrence","Final figure, complete","2021","254412",""
"United States of America","2019","Total","Both Sexes","66","Data tabulated by year of occurrence","Final figure, complete","2021","49560",""
"United States of America","2019","Total","Both Sexes","67","Data tabulated by year of occurrence","Final figure, complete","2021","50719",""
"United States of America","2019","Total","Both Sexes","68","Data tabulated by year of occurrence","Final figure, complete","2021","52212",""
"United States of America","2019","Total","Both Sexes","69","Data tabulated by year of occurrence","Final figure, complete","2021","53762",""
"United States of America","2019","Total","Both Sexes","70","Data tabulated by year of occurrence","Final figure, complete","2021","57343",""
"United States of America","2019","Total","Both Sexes","70 - 74","Data tabulated by year of occurrence","Final figure, complete","2021","301147",""
"United States of America","2019","Total","Both Sexes","71","Data tabulated by year of occurrence","Final figure, complete","2021","61396",""
